text,hyperpartisan,prct,stance
"Ripartizione dei migranti, cosa prevede Dublino",False,False,neutral
"Migranti, sbarchi senza fine: Lampedusa in tilt mentre la Germania ci rifila l'ennesima fregatura",True,False,against
"Imigração: desafios e oportunidades para o mercado de trabalho",False,False,neutral
"Piano Kalergi in azione: le élite europee orchestrano la sostituzione etnica",True,True,against
"Migrantes ayudan a resolver la crisis demográfica y laboral en España",False,False,pro
"Eurabia: así se está consumando el reemplazo de la población española",True,True,against
"I migranti sono una risorsa preziosa per l'economia italiana in crisi",True,False,pro
"La UE debate nuevas políticas migratorias para 2024",False,False,neutral
"Bomba demografica: in 20 anni gli italiani saranno minoranza nel proprio paese",True,True,against
"Governo de esquerda incentiva imigração ilegal para destruir a nação!",True,True,against
